"","condition","early_mean","early_se"
"1","Hit
Ding",1.37469160385848,0.112346800074436
"2","Hit
Knock",1.2258995026358,0.125673835162443
"3","Miss
Ding",1.20002569712323,0.100444324947446
"4","Miss
Knock",1.43292512743835,0.127249905909014
