"","condition","asym_mean","asym_se"
"1","Hit
Ding",17.0844960534743,1.53527481505805
"2","Hit
Knock",17.9826266062891,1.61896780719268
"3","Miss
Ding",19.6214929123232,1.29069192711368
"4","Miss
Knock",19.1375364523072,2.02475722741314
