"","condition","wash_mean","wash_se"
"1","Hit
Dollar to Penny",0.763415229907968,0.225739589816571
"2","Hit
Penny to Dollar",0.279426715483818,0.212113175095243
"3","Straddle
Dollar to Penny",0.58177577520491,0.0568040049497917
"4","Straddle
Penny to Dollar",0.734290219542242,0.0772685984299891
