"","condition","asym_mean","asym_se"
"1","Hit
Dollar",8.29916189295816,1.58018031525241
"2","Hit
Penny",10.5050612811835,1.64558408488018
"3","Straddle
Dollar",11.8275989349829,1.76506171124929
"4","Straddle
Penny",12.4585973562944,1.6016133580271
