"","condition","del_asym_mean","del_asym_se"
"1","Hit
Dollar to Penny",0.891869701657723,0.753166884029375
"2","Hit
Penny to Dollar",0.0632311793447762,1.4598486538862
"3","Straddle
Dollar to Penny",0.796352005414019,0.881891117533921
"4","Straddle
Penny to Dollar",-2.032232869939,1.03345703095531
