"","jump","stl_mean","stl_se"
"1","Jump Away",1.57329747516538,0.279127132661343
"2","Jump In Place",1.35813500741364,0.189247807969252
"3","Jump To",0.457261805567801,0.174882443768291
"4","No Jump",1.50332423593818,0.203429022423918
