"","condition","wash_mean","wash_se"
"1","Hit
Ding",0.492924438662217,0.0565717841473891
"2","Hit
Knock",0.550580637923302,0.0532969052924061
"3","Miss
Ding",0.442113565190106,0.0338003650629594
"4","Miss
Knock",0.756610423852361,0.142031005012919
