"","jump","stl_mean","stl_se"
"1","Jump Away",1.46727488315,0.213859454216068
"2","Jump In Place",1.37751924173333,0.162698332647143
"3","Jump To",0.553984764983333,0.131917875917443
"4","No Jump",1.4719688359,0.166606717479967
