"","condition","update_mean","update_se"
"1","big ding",3.21903624121736,0.211628505666785
"2","big knock",3.16204844520528,0.183492254108704
"3","small ding",3.85191782847008,0.157852435070292
"4","small knock",3.55334114805167,0.179134273332789
